time,o,h,l,c,vol
2017-06-08 00:00:00,2897.9,2914.1,2610.0,2667.6,103352659.0
2017-06-09 00:00:00,2667.6,2827.2,2589.0,2817.7,68819033.0
2017-06-10 00:00:00,2817.7,2866.8,2788.3,2817.2,46577238.0
2017-06-11 00:00:00,2817.2,2930.5,2803.0,2922.0,52286178.0
2017-06-12 00:00:00,2922.0,3017.0,2879.9,2994.8,48306924.0
2017-06-13 00:00:00,2994.8,3006.9,2470.0,2656.5,187239903.0
2017-06-14 00:00:00,2656.5,2790.3,2635.1,2702.6,63913652.0
2017-06-15 00:00:00,2702.6,2798.9,2320.0,2432.9,139982991.0
2017-06-16 00:00:00,2432.9,2501.3,2095.5,2410.7,179250376.0
2017-06-17 00:00:00,2410.7,2518.6,2290.0,2471.0,83294972.0
2017-06-18 00:00:00,2471.0,2678.1,2406.8,2626.3,67003395.0
2017-06-19 00:00:00,2626.3,2677.1,2457.0,2525.0,76508816.0
2017-06-20 00:00:00,2525.0,2600.8,2485.2,2598.8,42089739.0
2017-06-21 00:00:00,2598.8,2802.5,2580.0,2736.8,62478121.0
2017-06-22 00:00:00,2736.8,2788.9,2595.0,2652.7,85189260.0
2017-06-23 00:00:00,2652.7,2730.0,2589.0,2699.9,38506589.0
2017-06-24 00:00:00,2699.9,2744.1,2649.1,2678.9,30749419.0
2017-06-25 00:00:00,2678.9,2717.9,2502.0,2559.5,66355372.0
2017-06-26 00:00:00,2559.5,2635.2,2424.8,2507.9,68277139.0
2017-06-27 00:00:00,2507.9,2549.0,2300.7,2420.1,111425810.0
2017-06-28 00:00:00,2420.1,2549.0,2257.7,2541.6,104465173.0
2017-06-29 00:00:00,2541.6,2594.5,2450.0,2558.3,58060738.0
2017-06-30 00:00:00,2558.3,2600.2,2505.7,2532.7,45231684.0
2017-07-01 00:00:00,2532.7,2556.4,2443.5,2453.4,38809769.0
2017-07-02 00:00:00,2453.4,2497.4,2390.0,2422.7,47392832.0
2017-07-03 00:00:00,2422.7,2533.9,2371.3,2510.2,41945870.0
2017-07-04 00:00:00,2510.2,2599.7,2478.4,2540.5,43143932.0
2017-07-05 00:00:00,2540.5,2638.9,2540.1,2602.2,40891823.0
2017-07-06 00:00:00,2602.2,2626.3,2532.3,2603.2,31768789.0
2017-07-07 00:00:00,2603.2,2618.7,2563.0,2603.8,21108431.0
2017-07-08 00:00:00,2603.8,2608.0,2473.0,2505.1,47647945.0
2017-07-09 00:00:00,2505.1,2558.0,2467.4,2554.4,36015348.0
2017-07-10 00:00:00,2554.4,2565.7,2498.3,2506.5,26976481.0
2017-07-11 00:00:00,2506.5,2521.9,2271.0,2335.2,94816230.0
2017-07-12 00:00:00,2335.2,2397.8,2241.9,2304.8,81063826.0
2017-07-13 00:00:00,2304.8,2408.4,2231.8,2386.8,79874625.0
2017-07-14 00:00:00,2386.8,2421.0,2310.6,2338.1,42566065.0
2017-07-15 00:00:00,2338.1,2354.8,2135.5,2208.4,85136385.0
2017-07-16 00:00:00,2208.4,2221.5,1970.5,1974.0,136364277.0
2017-07-17 00:00:00,1974.0,2047.2,1810.0,1924.5,155681818.0
2017-07-18 00:00:00,1924.5,2226.4,1910.0,2223.5,121549945.0
2017-07-19 00:00:00,2223.5,2387.0,2150.0,2303.0,156111878.0
2017-07-20 00:00:00,2303.0,2398.9,2220.0,2262.1,121950935.0
2017-07-21 00:00:00,2262.1,2959.2,2261.0,2883.1,272443483.0
2017-07-22 00:00:00,2883.1,2888.0,2610.0,2666.0,200071318.0
2017-07-23 00:00:00,2666.0,2906.0,2644.2,2833.2,157951704.0
2017-07-24 00:00:00,2833.2,2866.3,2650.0,2752.8,140948241.0
2017-07-25 00:00:00,2752.8,2817.0,2704.3,2764.4,91497864.0
2017-07-26 00:00:00,2764.4,2788.4,2438.4,2559.6,229714016.0
2017-07-27 00:00:00,2559.6,2609.9,2391.2,2530.2,156631568.0
2017-07-28 00:00:00,2530.2,2685.1,2512.6,2662.3,104885818.0
2017-07-29 00:00:00,2662.3,2828.0,2654.5,2782.0,142053965.0
2017-07-30 00:00:00,2782.0,2784.7,2654.9,2692.5,111150377.0
2017-07-31 00:00:00,2692.5,2747.0,2556.2,2730.4,86265869.0
2017-08-01 00:00:00,2730.4,2891.0,2684.7,2851.1,101346941.0
2017-08-02 00:00:00,2851.1,2913.1,2601.2,2730.1,173819218.0
2017-08-03 00:00:00,2730.1,2766.6,2633.7,2706.9,81464944.0
2017-08-04 00:00:00,2706.9,2805.8,2699.3,2787.7,51230643.0
2017-08-05 00:00:00,2787.7,2875.1,2760.6,2854.9,73184795.0
2017-08-06 00:00:00,2854.9,3341.6,2848.2,3257.8,249140638.0
2017-08-07 00:00:00,3257.8,3305.0,3142.8,3221.8,134273847.0
2017-08-08 00:00:00,3221.8,3442.0,3180.7,3395.0,135545546.0
2017-08-09 00:00:00,3395.0,3486.7,3328.0,3422.1,180632515.0
2017-08-10 00:00:00,3422.1,3430.2,3220.0,3341.2,159826371.0
2017-08-11 00:00:00,3341.2,3443.9,3307.5,3412.2,89052947.0
2017-08-12 00:00:00,3412.2,3718.6,3393.4,3651.8,145203168.0
2017-08-13 00:00:00,3651.8,3987.6,3603.7,3874.4,264461491.0
2017-08-14 00:00:00,3874.4,4215.1,3842.0,4077.9,375155723.0
2017-08-15 00:00:00,4077.9,4353.0,3960.3,4328.5,269279921.0
